Address,Owner Name,Owner Company Name,Owner Phone,Owner email,Business Name,Business Phone,Business Email,Property Type
"643 West 43rd Street, New York, New York, 10036",Not Found,Not Found,Not Found,Not Found,United Parcel Service,(212) 631-6629,Not Found,Non-Refrigerated Warehouse
"2447 3RD AVENUE, Bronx, New York, 10451",Markland 141 LLC,Not Found,Not Found,Not Found,Bridge Building Supply Co Inc,(718) 585-3242,[email protected],Non-Refrigerated Warehouse
"48-43 32nd Place, Queens, New York, 11101",JEHEE MANAGEMENT CORP,Not Found,Not Found,Not Found,Wanrong Trading Corp,(718) 361-8882,Not Found,Non-Refrigerated Warehouse
"32 Beadel St, Brooklyn, NY 11222, Brooklyn, New York, 11222",Not Found,Not Found,Not Found,Not Found,New Son Yeng Produce,718-330-1188,Not Found,Non-Refrigerated Warehouse
"49-10 27 STREET, QUEENS, New York, 11101",United Parcel Service,United Parcel Service,(800) 742-5877,Not Found,UPS CC Queens North,(800) 742-5877,Not Found,Non-Refrigerated Warehouse
"1331 Travis Avenue, STATEN ISLAND, New York, 10314","United Parcel Service, Inc.","United Parcel Service, Inc.",(718) 494-9470,Not Found,UPS Customer Center,(888) 742-5877,totaltrack@ups.com,Non-Refrigerated Warehouse
"1055 Bronx River Avenue, Bronx, New York, 10472",Prologis,Prologis,718-328-3971,Not Found,Amazon Fulfillment Center-Dyo2,888-280-4331,Not Found,Non-Refrigerated Warehouse
"4215 Boston Post Road, BRONX, New York, 10466",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"438-440 East 91st St, New York, New York, 10128",Metropolitan Museum of Art,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"2300 Randall Ave, Bronx, New York, 10473",CM REALTY PROPERTY LL,Not Found,Not Found,Not Found,Fad 2300 Food Corp,(347) 281-8252,Not Found,Non-Refrigerated Warehouse
"184-60 Jamaica Ave, Queens, New York, 11423",KABR Group,Not Found,Not Found,Not Found,Gotham Greens,Not Found,Not Found,Non-Refrigerated Warehouse
"19-40 Hazen Street, Queens, New York, 11370",Hazen Street Realty LLC,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"1011 ELTON ST, BROOKLYN, New York, 11208",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"1476 Utica Ave, Brooklyn, New York, 11234",G S I REALTY CO,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"105 EVERGREEN AVENUE, Brooklyn, New York, 11206",UOVO Holdings LLC,UOVO Holdings LLC,833-344-8686,Not Found,UOVO Art & Fashion Storage - Brooklyn,833-344-8686,Not Found,Non-Refrigerated Warehouse
"2301 Borden ave, Queens, New York, 11101",Foo Yuan Food Products Co Inc,Not Found,(212) 925-2840,Not Found,Foo Yuan Food Products Co Inc,(212) 925-2840,Not Found,Non-Refrigerated Warehouse
"1213 GRAND ST, Brooklyn, New York, 11211",Not Found,Not Found,Not Found,Not Found,Union Beer Distributors LLC,(718) 497-2407,Not Found,Non-Refrigerated Warehouse
"62 Imlay St, Brooklyn, New York, 11231",Not Found,Not Found,Not Found,Not Found,Mercedes Distribution Center,+1 (718) 522-7111,Not Found,Non-Refrigerated Warehouse
"1213 Grand Street, Brooklyn, New York, 11211",Not Found,Not Found,Not Found,Not Found,Union Beer Distributors,(718) 497-2407,Not Found,Non-Refrigerated Warehouse
"900 138th Street Bronx, NY 10454, Bronx, New York, 10454",Not Found,Not Found,Not Found,Not Found,Parallel Products Of New England,718-585-2030,Not Found,Non-Refrigerated Warehouse
"33-02 11 Street, Astoria, New York, 11106",CIPICO CONSTRUCTION I,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"154 Morgan ave, Brooklyn, New York, 11237",Terreno Realty Corporation,Not Found,Not Found,Not Found,A L & C Trading Inc,718-366-0955,Not Found,Non-Refrigerated Warehouse
"414 East 101st St, Brooklyn, New York, 11236",Not Found,Not Found,Not Found,Not Found,The Avvocato Accident Attorneys,+1 (929) 432-8818,Not Found,Non-Refrigerated Warehouse
"2615 Brooklyn Queens Expressway, Queens, New York, 11377",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"37-01 21st Street, Queens, New York, 11101",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"383 CONCORD AVENUE, Bronx, New York, 10454",Shlomo Malki,Econocraft World Wide Mfg Inc,718-585-6463,Not Found,Econocraft World Wide Mfg Inc,718-585-6463,Not Found,Non-Refrigerated Warehouse
"230-19 Int. Airport Center Blv, Jamaica, New York, 11413-4104","AMB Fund III NY II, LLC",Not Found,Not Found,Not Found,"Nippon Express, USA Inc",+1 718 632-2600,Not Found,Non-Refrigerated Warehouse
"1530 MCDONALD AVE, Brooklyn, New York, 11230",MDM REALTY,Not Found,Not Found,Not Found,Iconic Distributors,718-568-5115,Not Found,Non-Refrigerated Warehouse
"Classified NYPD Location, Bronx, New York, 10470",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"103 13th street, Brooklyn, New York, 11215",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"515 Bryant Ave # 521, Bronx, NY 10474, none, New York, 10474","515 BRYANT REALTY, LL",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"4712 Grand Ave, Queens, New York, 11378",QUEEN GRAND REALTY L,Not Found,Not Found,Not Found,MANHATTAN BEER DISTRIBUTORS,(718) 894-3700,Not Found,Non-Refrigerated Warehouse
"58-50 52nd Avenue, Queens, New York, 11377",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"21-15 21 STREET, Queens, New York, 11101",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"3505 Conner Street, Bronx, New York, 10475",3505 CONNER STREET LL,Not Found,Not Found,Not Found,Bronx Kia,(718) 777-0800,[email protected],Non-Refrigerated Warehouse
"117 VERDI ST FARMINGDALE, Maspeth, New York, 11378",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"182-09 149th Rd, Jamaica, New York, 11413",Terreno Realty Corp.,Not Found,Not Found,Not Found,"Radiant Customs Services, Inc.",(718) 995-3850,Not Found,Non-Refrigerated Warehouse
"5860 GRAND AVE, Queens, New York, 11378",Tom Ryan,Welpak Corporation,718-391-0155,Not Found,Welpak Corporation,718-391-0155,Not Found,Non-Refrigerated Warehouse
"1201 Metropolitan Ave, Brooklyn, New York, 11237",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"47-20 30 STREET, QUEENS, New York, 11101","JOMEIRA REALTY, LLC",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"115-40 DUNKIRK STREET, QUEENS, New York, 11412",BK HOLDING CORP,Not Found,Not Found,Not Found,Nemo Tile + Stone,Not Found,Not Found,Non-Refrigerated Warehouse
"150-10 132nd Ave., jamaica, New York, 11434",Bolloré Logistics USA Inc.,Bolloré Logistics USA Inc.,(718) 525-8100,Not Found,Bolloré Logistics USA Inc.,(718) 525-8100,Not Found,Non-Refrigerated Warehouse
"56-01 Maspeth Ave, Queens, New York, 11378",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"333 Beach 95th Street AKA 95-15 Beach Channel Drive, Queens, New York, 11693",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse
"10615 Foster Avenue, Brooklyn, New York, 11236",Sez Foster LLC,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"152 Ashland Place, Brooklyn, New York, 11201",Not Found,Not Found,Not Found,Not Found,MPG Parking - MP Ashland Parking Garage,718-522-3879,Not Found,Parking
"435 E 55th St, New York, New York, 10022",Edwin Rivera,Garage Management Company LLC,(212) 753-8148,Not Found,Carriage Trade Garage,(212) 753-8148,Not Found,Parking
"163 East 84th Street, New York, New York, 10028","163 East 84th Street, L.L.C.",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Parking
"515 7th Avenue, New York, New York, 10018",515 SEVENTH AVENUE LL,Not Found,Not Found,Not Found,Central Parking System,212-398-0547,Not Found,Parking
"201 WEST 75 STREET, New York, New York, 10023",Not Found,Not Found,Not Found,Not Found,Carousel Parking Corp / Champion Parking,212-874-0581,Not Found,Parking
"5610 2nd Avenue, Brooklyn, New York, 11220",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Parking
"4162 Broadway, New York, New York, 10033",Broadway Lot Owner LLC,Not Found,Not Found,Not Found,Centerpark Broadway Parking Garage,212-568-3758,[email protected],Parking
"260 Myrtle Avenue, Brooklyn, New York, 11201",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Parking
"98-20 97 Avenue, Queens, New York, 11416",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Parking
"2400 Ryer Avenue, Bronx, New York, 10458",2400 Ryer Avenue Realty LLC,Not Found,Not Found,Not Found,Fine Fare,(718) 367-1800,Not Found,Parking
"410 E 148 St, Bronx, New York, 10455",Episcopal Social Services,Not Found,718-742-1850,Not Found,Episcopal Social Services,718-742-1850,Not Found,Pre-school / Daycare
"2170 Mcdonald Ave, Brooklyn, New York, 11233",Carmike Holding I LLC,Not Found,Not Found,Not Found,Magen David Yeshivah Early Childhood Center,718-265-3331,Not Found,Pre-school / Daycare
"170 LAWRENCE AVENUE, BROOKLYN, New York, 11230",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Pre-school / Daycare
"2863 Webster Avenue, Bronx, New York, 10458",DEBRON REALTY CORP.,Not Found,Not Found,Not Found,MARC Academy and Family Center,718-562-3410,Not Found,Pre-school / Daycare
"1841 Park Avenue, New York, New York, 10035",Association to Benefit Children,Not Found,(646) 459-6175,Not Found,ABC Echo Park Early Childhood Development Center,(646) 459-6028,Not Found,Pre-school / Daycare
"460 Atlantic Ave, Brooklyn, New York, 11217",460 Atlantic Realty Corp,Not Found,Not Found,Not Found,Strong Place for Hope Day Care,718-522-1351,Not Found,Pre-school / Daycare
"58-71 56 DRIVE, QUEENS, New York, 11378",ALLE PROCESSING CORP,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Refrigerated Warehouse
"58-71 56 Drive, Maspeth, New York, 11378",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Refrigerated Warehouse
"340 Johnson Avenue, Brooklyn, New York, 11206",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Refrigerated Warehouse
"650 Fountain Ave, Brooklyn, New York, 11208",Spencer An,"Bogopa, Inc.",(718) 346-6500,Not Found,Food Bazaar Supermarkets,(718) 346-6500,Not Found,Refrigerated Warehouse
"1376 Cromwell Avenue, Bronx, New York, 10452",CubeSmart,CubeSmart Self Storage of the Bronx,718-588-1100,STORE0812@CUBESMART.COM,CubeSmart Self Storage of the Bronx,718-588-1100,STORE0812@CUBESMART.COM,Self-Storage Facility
"47-36 VAN DAM STREET, Queens, New York, 11101",FBE VAN DAM,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Self-Storage Facility
"122-20 Merrick Boulevard, Queens, New York, 11434",Not Found,Not Found,Not Found,Not Found,CubeSmart Self Storage,718-525-6150,Not Found,Self-Storage Facility
"1816 Boston Road, Bronx, New York, 10460",CubeSmart Self Storage,CubeSmart Self Storage,718-991-2999,Not Found,CubeSmart Self Storage,718-991-2999,Not Found,Self-Storage Facility
"169-01 baisley blvd, queens, New York, 11434",Not Found,Not Found,Not Found,Not Found,Stop & Stor Baisley,718-949-8000,Not Found,Self-Storage Facility
"5020 Broadway, New York, New York, 10034",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Self-Storage Facility
"2990 Cropsey Avenue, Brooklyn, New York, 11214",CubeSmart Self Storage,CubeSmart Self Storage,718-373-0517,Not Found,CubeSmart Self Storage,718-373-0517,Not Found,Self-Storage Facility
"1151 East New York Avenue, Brooklyn, New York, 11212",Not Found,Not Found,Not Found,Not Found,CubeSmart Self Storage,718-778-8800,Not Found,Self-Storage Facility
"301 West Fordham Road, Bronx, New York, 10468",Storage Post,Storage Post,(718) 208-4838,Not Found,Storage Post Self Storage,(718) 208-4838,Not Found,Self-Storage Facility
"252 Newport St, Brooklyn, New York, 11212","DIV HDV BROOKLYN, LLC",Not Found,Not Found,Not Found,Life Storage,(347) 305-8701,[email protected],Self-Storage Facility
"3511 Victory Blvd, Staten Island, New York, 10314",Andover Properties LLC,Not Found,Not Found,Not Found,Storage King USA,(718) 983-0551,Not Found,Self-Storage Facility
"2558 e 18th st, Brooklyn, New York, 11235",The Laquila Group Inc,Not Found,(718) 368-2432,Not Found,Not Found,Not Found,Not Found,Supermarket / Grocery Store
"1507 Coney Island ave, Brooklyn, New York, 11230",288 Willoughby Holdings LLC,Not Found,Not Found,Not Found,Pomegranate Supermarket,718-951-7112,[email protected],Supermarket / Grocery Store
"214 3rd St, Brooklyn, New York, 11215",WFM Properties Brooklyn LLC,Not Found,Not Found,Not Found,Whole Foods Market,(718) 907-3622,Not Found,Supermarket / Grocery Store
"262 11 Avenue, New York, New York, 10001",DEZER PROPERTIES 11TH AVENUE,DEZER PROPERTIES CO.,Not Found,Not Found,Not Found,Not Found,Not Found,Vehicle Dealership
"48-40 34th St, Queens, New York, 11101",Not Found,Not Found,Not Found,Not Found,Electrical Industry Training Center,718-433-9174,Not Found,Vocational School
"1215 E. GUN HILL RD, BRONX, New York, 10469",Constantine Monzidelis,Gun Post Bildinic Lanes Corp.,(718) 881-0331,bowlerland@gmail.com,Gun Post Lanes,(718) 881-0331,bowlerland@gmail.com,Bowling Alley
"141 East Service Road, Staten Island, New York, 10314",SI Showplace LLC,Not Found,Not Found,Not Found,Showplace Entertainment Center,(718) 477-2695,Not Found,Bowling Alley
"30-05 Whitestone Expressway, Queens, New York, 11354",Marco Macaluso,Mar Mar Realty LLC,(718) 353-6300,info@whitestonebowlinglanes.com,Whitestone Bowling Lanes,(718) 353-6300,info@whitestonebowlinglanes.com,Bowling Alley
"98-18 Rockaway Boulevard, Queens, New York, 11417",Marc Resnick,"RF Realty Holding, LLC",Not Found,Not Found,Bowl 360 Ozone Park,718-843-5553,Not Found,Bowling Alley
